X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,TypeOfSteel_A300,TypeOfSteel_A400,Fault_class
1404.0,1410.0,,,85.0,9.0,18.0,8948.0,97.0,119.0,1627.0,40.0,0.2668,0.213,0.3333,0.0037,0.6667,1.0,1.0,1.9294,0.7782,1.2553,0.6667,-0.1776,0.215,0,1,Pastry
1281.0,1302.0,4332564.0,4332815.0,,92.0,,,33.0,140.0,1373.0,40.0,0.1034,0.3902,0.0837,0.0153,0.2283,0.9921,1.0,3.5071,1.3222,2.3997,0.9163,-0.1045,1.0,0,1,Pastry
49.0,62.0,,,386.0,15.0,38.0,36875.0,51.0,124.0,1373.0,40.0,0.0714,0.2186,0.3421,0.0095,0.8667,1.0,1.0,2.5866,1.1139,1.5798,0.6579,-0.2537,0.7822,0,1,Pastry
830.0,837.0,1874382.0,1874415.0,182.0,9.0,33.0,20751.0,99.0,132.0,1373.0,40.0,0.7808,0.2121,0.2121,0.0051,0.7778,1.0,1.0,2.2601,0.8451,1.5185,0.7879,-0.1093,0.3834,0,1,Pastry
91.0,104.0,2378173.0,2378236.0,527.0,19.0,63.0,48793.0,47.0,125.0,1387.0,40.0,0.1312,0.3565,0.2063,0.0094,0.6842,1.0,1.0,2.7218,1.1139,1.7993,0.7936,-0.2767,0.9691,0,1,Pastry
161.0,168.0,2891780.0,2891804.0,158.0,9.0,24.0,16680.0,80.0,119.0,1387.0,40.0,0.2322,0.0595,0.2917,0.005,0.7778,1.0,1.0,2.1987,0.8451,1.3802,0.7083,-0.1752,0.2901,0,1,Pastry
1328.0,1338.0,2691161.0,2691189.0,214.0,10.0,28.0,19762.0,70.0,111.0,1387.0,50.0,0.0707,0.2357,0.3571,0.0072,1.0,1.0,1.0,2.3304,1.0,1.4472,0.6429,-0.2785,0.463,0,1,Pastry
1251.0,1274.0,3874199.0,3874261.0,994.0,29.0,62.0,68851.0,15.0,119.0,1387.0,50.0,0.1629,0.3029,0.371,0.0166,0.7931,1.0,1.0,2.9974,1.3617,1.7924,0.629,,0.9994,0,1,Pastry
733.0,745.0,3957796.0,3957839.0,367.0,16.0,43.0,35856.0,55.0,127.0,1387.0,50.0,0.9257,0.2888,0.2791,0.0087,0.75,1.0,1.0,2.5647,1.0792,1.6335,0.7209,-0.2367,0.8061,0,1,Pastry
12.0,24.0,304433.0,304472.0,320.0,15.0,39.0,32705.0,55.0,125.0,1353.0,70.0,0.0177,0.3162,0.3077,0.0089,0.8,1.0,1.0,2.5052,1.0792,1.5911,0.6923,-0.2015,0.7512,0,1,Pastry
162.0,172.0,505964.0,506035.0,378.0,34.0,72.0,43323.0,77.0,135.0,1353.0,70.0,0.2395,0.4676,0.1408,0.0074,0.2941,0.9861,1.0,2.5775,1.0,1.8513,0.8591,-0.1046,0.9381,0,1,Pastry
0.0,10.0,1701480.0,1701528.0,210.0,36.0,48.0,17413.0,73.0,100.0,1333.0,40.0,0.0,0.5625,0.2083,0.0075,0.2778,1.0,1.0,2.3222,1.0,1.6812,0.7917,-0.3522,0.7659,0,1,Pastry
1617.0,1629.0,183688.0,183711.0,201.0,22.0,23.0,20993.0,79.0,126.0,1633.0,,0.0049,0.2717,0.5217,0.0074,0.5454,1.0,1.0,2.3032,1.0792,1.3617,0.4783,-0.184,0.4564,0,1,Pastry
1152.0,1162.0,284144.0,284198.0,386.0,35.0,54.0,44712.0,90.0,132.0,1687.0,,0.6224,0.2852,0.1852,0.0059,0.2857,1.0,1.0,2.5866,1.0,1.7324,0.8148,-0.095,0.8299,0,1,Pastry
1259.0,1271.0,1918092.0,1918128.0,324.0,30.0,36.0,30269.0,65.0,124.0,1353.0,70.0,0.1212,0.25,0.3333,0.0089,0.4,1.0,1.0,2.5106,1.0792,1.5563,0.6667,-0.2701,0.7037,0,1,Pastry
1545.0,1557.0,19815.0,19841.0,234.0,20.0,26.0,23207.0,66.0,124.0,1627.0,40.0,0.086,0.25,0.4615,0.0074,0.6,1.0,1.0,2.3692,1.0792,1.415,0.5385,-0.2252,0.5162,0,1,Pastry
1580.0,1590.0,3884411.0,3884461.0,340.0,30.0,50.0,34655.0,88.0,116.0,1627.0,40.0,0.0455,0.32,0.2,0.0061,0.3333,1.0,1.0,2.5315,1.0,1.699,0.8,-0.2037,0.7889,0,1,Pastry
450.0,458.0,1009978.0,1009999.0,98.0,16.0,21.0,10784.0,96.0,132.0,1690.0,60.0,0.5325,0.4167,0.381,0.0047,0.5,1.0,1.0,1.9912,0.9031,1.3222,0.6191,-0.1403,0.2901,1,0,Pastry
1625.0,1634.0,1702442.0,1702491.0,267.0,43.0,49.0,22785.0,67.0,110.0,1690.0,60.0,0.0663,0.3946,0.1837,0.0053,0.2093,1.0,1.0,2.4265,0.9542,1.6902,0.8163,-0.3333,0.7161,1,0,Pastry
1495.0,1502.0,3509718.0,3509731.0,56.0,12.0,13.0,5587.0,85.0,116.0,1686.0,60.0,0.2183,0.3846,0.5385,0.0041,0.5833,1.0,1.0,1.7482,0.8451,1.1139,0.4615,-0.2206,0.1965,1,0,Pastry
958.0,964.0,3550754.0,3550771.0,71.0,11.0,17.0,7502.0,91.0,124.0,1682.0,60.0,0.8537,0.3039,0.3529,0.0036,0.5454,1.0,1.0,1.8513,0.7782,1.2305,0.6471,-0.1745,0.2083,1,0,Pastry
1536.0,1548.0,43036.0,43048.0,90.0,14.0,12.0,7525.0,67.0,100.0,1688.0,60.0,0.1659,0.375,1.0,0.0071,0.8571,1.0,0.5,1.9542,1.0792,1.0792,0.0,-0.3468,0.2583,1,0,Pastry
780.0,787.0,1686880.0,1686891.0,55.0,9.0,11.0,6124.0,95.0,125.0,1690.0,60.0,0.9231,0.2857,0.6364,0.0041,0.7778,1.0,1.0,1.7404,0.8451,1.0414,0.3636,-0.1301,0.1822,1,0,Pastry
1140.0,1147.0,2379116.0,2379129.0,58.0,9.0,13.0,6567.0,100.0,132.0,1690.0,60.0,0.6426,0.3626,0.5385,0.0041,0.7778,1.0,1.0,1.7634,0.8451,1.1139,0.4615,-0.1154,0.1965,1,0,Pastry
13.0,24.0,2512899.0,2512965.0,567.0,47.0,66.0,46365.0,51.0,109.0,1690.0,60.0,0.0154,0.219,0.1667,0.0065,0.234,1.0,1.0,2.7536,1.0414,1.8195,0.8333,-0.3611,0.944,1,0,Pastry
11.0,20.0,2845229.0,2845256.0,182.0,20.0,27.0,16337.0,72.0,109.0,1688.0,60.0,0.013,0.251,0.3333,0.0053,0.45,1.0,1.0,2.2601,0.9542,1.4314,0.6667,-0.2987,0.4025,1,0,Pastry
1589.0,1599.0,3826564.0,3826588.0,154.0,20.0,24.0,13678.0,69.0,108.0,1650.0,69.0,0.0618,0.3583,0.4167,0.0061,0.5,1.0,1.0,2.1875,1.0,1.3802,0.5833,-0.3061,0.3977,1,0,Pastry
765.0,774.0,4157586.0,4157620.0,188.0,20.0,34.0,20528.0,95.0,125.0,1648.0,69.0,0.9284,0.3856,0.2647,0.0055,0.45,1.0,1.0,2.2742,0.9542,1.5315,0.7353,-0.1469,0.5063,1,0,Pastry
1268.0,1277.0,,,146.0,20.0,27.0,15572.0,88.0,126.0,1646.0,69.0,0.4484,0.3992,0.3333,0.0055,0.45,1.0,1.0,2.1644,0.9542,1.4314,0.6667,-0.1667,0.4025,1,0,Pastry
333.0,346.0,,,51.0,14.0,7.0,6902.0,120.0,149.0,1650.0,69.0,0.4036,0.3462,0.4615,0.0079,0.9286,0.8571,0.0,1.7076,1.1139,0.7782,-0.5385,0.0573,0.1832,1,0,Pastry
1287.0,1299.0,1005865.0,1005895.0,184.0,25.0,30.0,18593.0,85.0,119.0,1650.0,100.0,0.4254,0.4889,0.4,0.0073,0.48,1.0,1.0,2.2648,1.0792,1.4771,0.6,-0.2106,0.5951,1,0,Pastry
1088.0,1096.0,1094617.0,1094629.0,67.0,10.0,12.0,7416.0,94.0,132.0,1710.0,100.0,0.7181,0.3021,0.6667,0.0047,0.8,1.0,1.0,1.8261,0.9031,1.0792,0.3333,-0.1353,0.2018,1,0,Pastry
1255.0,1261.0,718602.0,718617.0,64.0,10.0,15.0,7013.0,99.0,123.0,1360.0,100.0,0.1456,0.2889,0.4,0.0044,0.6,1.0,1.0,1.8062,0.7782,1.1761,0.6,-0.1439,0.1954,1,0,Pastry
707.0,714.0,807870.0,807880.0,53.0,10.0,10.0,5039.0,81.0,111.0,1360.0,100.0,0.95,0.2429,0.7,0.0052,0.7,1.0,1.0,1.7243,0.8451,1.0,0.3,-0.2572,0.1753,1,0,Pastry
1186.0,1193.0,238656.0,238667.0,60.0,10.0,11.0,6863.0,100.0,132.0,1362.0,120.0,0.2482,0.2208,0.6364,0.0051,0.7,1.0,1.0,1.7781,0.8451,1.0414,0.3636,-0.1064,0.1822,1,0,Pastry
626.0,635.0,2071945.0,2071956.0,76.0,14.0,11.0,8063.0,84.0,126.0,1362.0,120.0,0.9192,0.2323,0.8182,0.0066,0.6429,1.0,1.0,1.8808,0.9542,1.0414,0.1818,-0.1712,0.2051,1,0,Pastry
1503.0,1510.0,893849.0,893861.0,66.0,9.0,12.0,6625.0,87.0,118.0,1632.0,100.0,0.1495,0.2143,0.5833,0.0043,0.7778,1.0,1.0,1.8195,0.8451,1.0792,0.4167,-0.2158,0.1892,1,0,Pastry
1152.0,1161.0,969900.0,969911.0,70.0,9.0,11.0,7846.0,99.0,127.0,1632.0,100.0,0.5772,0.2929,0.8182,0.0055,1.0,1.0,1.0,1.8451,0.9542,1.0414,0.1818,-0.1243,0.2051,1,0,Pastry
1533.0,1542.0,1031539.0,1031599.0,382.0,43.0,60.0,38206.0,77.0,118.0,1632.0,100.0,0.1103,0.2926,0.15,0.0055,0.2093,1.0,1.0,2.5821,0.9542,1.7781,0.85,-0.2186,0.8299,1,0,Pastry
788.0,796.0,1060712.0,1060732.0,110.0,13.0,20.0,11126.0,84.0,116.0,1630.0,100.0,0.9669,0.3125,0.4,0.0049,0.6154,1.0,1.0,2.0414,0.9031,1.301,0.6,-0.2098,0.2792,1,0,Pastry
34.0,40.0,914648.0,914661.0,51.0,8.0,13.0,5369.0,95.0,116.0,1654.0,100.0,0.0411,0.3462,0.4615,0.0036,0.75,1.0,1.0,1.7076,0.7782,1.1139,0.5385,-0.1775,0.1832,1,0,Pastry
1604.0,1612.0,1194800.0,1194814.0,63.0,15.0,14.0,5232.0,73.0,,1656.0,100.0,0.0531,0.4375,0.5714,0.0048,0.5333,1.0,1.0,1.7993,0.9031,1.1461,0.4286,-0.3512,0.2195,1,0,Pastry
1610.0,1618.0,1944129.0,1944138.0,56.0,12.0,9.0,4674.0,71.0,101.0,1656.0,100.0,0.0459,0.2222,0.8889,0.0048,0.6667,1.0,1.0,1.7482,0.9031,0.9542,0.1111,-0.3479,0.1773,1,0,Pastry
1617.0,1628.0,2095494.0,2095507.0,89.0,14.0,13.0,7804.0,77.0,100.0,1658.0,100.0,0.0362,0.3776,0.8461,0.0066,0.7857,1.0,1.0,1.9494,1.0414,1.1139,0.1539,-0.315,0.257,1,0,Pastry
1589.0,1598.0,2493647.0,2493675.0,190.0,21.0,28.0,18416.0,81.0,116.0,1648.0,100.0,0.0607,0.246,0.3214,0.0055,0.4286,1.0,1.0,2.2787,0.9542,1.4472,0.6786,-0.2428,0.417,1,0,Pastry
482.0,490.0,,,81.0,15.0,20.0,8709.0,99.0,119.0,1656.0,100.0,0.5821,0.4938,0.4,0.0048,0.5333,1.0,1.0,1.9085,0.9031,1.301,0.6,-0.16,0.2792,1,0,Pastry
1067.0,1073.0,237702.0,237720.0,63.0,17.0,18.0,4616.0,58.0,,1694.0,,0.7332,0.4167,0.3333,0.0035,0.3529,1.0,1.0,1.7993,0.7782,1.2553,0.6667,,0.215,1,0,Pastry
623.0,631.0,309514.0,309526.0,60.0,9.0,12.0,4585.0,62.0,,1694.0,,0.7355,0.375,0.6667,0.0047,0.8889,1.0,1.0,1.7781,0.9031,1.0792,0.3333,,0.2018,1,0,Pastry
446.0,453.0,200561.0,200567.0,30.0,8.0,6.0,3022.0,80.0,116.0,1692.0,,0.5272,0.2857,0.8571,0.0041,0.875,1.0,0.0,1.4771,0.8451,0.7782,-0.1429,-0.213,0.1499,1,0,Pastry
375.0,384.0,519677.0,519708.0,209.0,24.0,31.0,24034.0,90.0,143.0,1692.0,,0.4433,0.2509,0.2903,0.0053,0.375,1.0,1.0,2.3201,0.9542,1.4914,0.7097,-0.1016,0.4613,1,0,Pastry
125.0,134.0,1334420.0,1334443.0,156.0,20.0,23.0,18654.0,101.0,141.0,1352.0,80.0,0.1849,0.2464,0.3913,0.0067,0.45,1.0,1.0,2.1931,0.9542,1.3617,0.6087,-0.0658,0.3464,1,0,Pastry
124.0,140.0,2377039.0,2377320.0,,165.0,,,64.0,140.0,1400.0,40.0,0.1771,0.4121,0.0569,0.0114,0.097,0.986,1.0,3.4221,1.2041,2.4487,0.9431,-0.1132,1.0,0,1,Pastry
1321.0,1339.0,513812.0,514011.0,,134.0,,,16.0,133.0,1380.0,40.0,0.0594,0.4012,0.0904,0.013,0.1343,0.9901,1.0,3.3314,1.2553,2.2989,0.9096,-0.166,1.0,0,1,Pastry
817.0,843.0,66196.0,66362.0,1421.0,142.0,185.0,141034.0,47.0,126.0,1666.0,40.0,0.9808,0.6708,0.1566,0.0156,0.1831,0.8973,1.0,3.1526,1.415,2.2201,0.8434,-0.2246,1.0,0,1,Pastry
808.0,816.0,161967.0,161984.0,103.0,13.0,17.0,11430.0,97.0,126.0,1666.0,40.0,0.97,0.2427,0.4706,0.0048,0.6154,1.0,1.0,2.0128,0.9031,1.2305,0.5294,-0.133,0.2482,0,1,Pastry
1327.0,1335.0,126951.0,126958.0,40.0,11.0,7.0,4014.0,89.0,111.0,1364.0,60.0,0.0425,0.2857,0.875,0.0059,0.7273,1.0,0.0,1.6021,0.9031,0.8451,-0.125,-0.216,0.1622,0,1,Pastry
64.0,95.0,417618.0,418215.0,,,,,21.0,141.0,1362.0,60.0,0.094,0.4103,0.0519,0.0228,0.0645,0.9884,1.0,4.038,1.4914,,0.9481,-0.2153,1.0,0,1,Pastry
57.0,69.0,33796.0,33812.0,135.0,18.0,16.0,10915.0,55.0,,1360.0,,0.0838,0.2969,0.75,0.0088,0.6667,1.0,1.0,2.1303,1.0792,1.2041,0.25,-0.3683,0.3241,0,1,Pastry
921.0,930.0,638468.0,638484.0,114.0,14.0,17.0,13173.0,94.0,140.0,1392.0,,0.6638,0.2083,0.5625,0.0065,0.6429,0.9412,1.0,2.0569,0.9542,1.2041,0.4375,-0.0972,0.2583,0,1,Pastry
830.0,837.0,837868.0,837888.0,82.0,13.0,20.0,9671.0,106.0,128.0,1392.0,,0.7974,0.4143,0.35,0.005,0.5385,1.0,1.0,1.9138,0.8451,1.301,0.65,-0.0786,0.2532,0,1,Pastry
1201.0,1213.0,3496093.0,3496125.0,275.0,19.0,32.0,28986.0,78.0,127.0,1362.0,40.0,0.2188,0.2839,0.375,0.0088,0.6316,1.0,1.0,2.4393,1.0792,1.5051,0.625,-0.1765,0.633,0,1,Pastry
1227.0,1238.0,3980733.0,3980769.0,289.0,25.0,36.0,32134.0,92.0,132.0,1364.0,40.0,0.1848,0.2702,0.3056,0.0081,0.44,1.0,1.0,2.4609,1.0414,1.5563,0.6944,-0.1313,0.6514,0,1,Pastry
959.0,974.0,4178002.0,4178041.0,313.0,36.0,39.0,35005.0,68.0,135.0,1364.0,40.0,0.5719,0.465,0.3846,0.011,0.4167,1.0,1.0,2.4955,1.1761,1.5911,0.6154,-0.1263,0.8682,0,1,Pastry
320.0,333.0,4383724.0,4383776.0,437.0,36.0,52.0,44883.0,63.0,132.0,1364.0,40.0,0.4692,0.3535,0.25,0.0095,0.3611,1.0,1.0,2.6405,1.1139,1.716,0.75,-0.1976,0.9236,0,1,Pastry
34.0,51.0,132507.0,132576.0,759.0,45.0,69.0,67978.0,44.0,124.0,1362.0,40.0,0.0499,0.3529,0.2464,0.0125,0.3778,1.0,1.0,2.8802,1.2305,1.8389,0.7536,-0.3003,0.997,0,1,Pastry
159.0,172.0,273320.0,273387.0,677.0,44.0,67.0,67597.0,72.0,124.0,1360.0,40.0,0.2338,0.2227,0.194,0.0096,0.2955,1.0,1.0,2.8306,1.1139,1.8261,0.806,-0.2199,0.9779,0,1,Pastry
1265.0,1278.0,31580.0,31602.0,211.0,18.0,22.0,17820.0,49.0,109.0,1364.0,100.0,0.1261,0.2622,0.5909,0.0095,0.7222,1.0,1.0,2.3243,1.1139,1.3424,0.4091,-0.3402,0.4729,0,1,Pastry
1343.0,1352.0,106512.0,106519.0,52.0,9.0,7.0,5049.0,87.0,109.0,1366.0,100.0,0.0205,0.1746,0.7778,0.0066,1.0,1.0,0.0,1.716,0.9542,0.8451,-0.2222,-0.2414,0.1687,0,1,Pastry
557.0,570.0,2425687.0,2425716.0,261.0,28.0,29.0,28261.0,91.0,126.0,1358.0,40.0,0.8203,0.3077,0.4483,0.0096,0.4643,1.0,1.0,2.4166,1.1139,1.4624,0.5517,-0.1541,0.6221,0,1,Pastry
1058.0,1066.0,367429.0,367455.0,135.0,18.0,26.0,15385.0,103.0,126.0,1690.0,70.0,0.7385,0.351,0.3077,0.0047,0.4444,1.0,1.0,2.1303,0.9031,1.415,0.6923,-0.1097,0.3479,0,1,Pastry
780.0,787.0,1044544.0,1044587.0,181.0,29.0,43.0,20264.0,99.0,125.0,1690.0,70.0,0.9231,0.3987,0.1628,0.0041,0.2414,1.0,1.0,2.2577,0.8451,1.6335,0.8372,-0.1253,0.4979,0,1,Pastry
971.0,979.0,1246698.0,1246717.0,109.0,15.0,19.0,12212.0,100.0,127.0,1694.0,70.0,0.8442,0.2829,0.4211,0.0047,0.5333,1.0,1.0,2.0374,0.9031,1.2787,0.5789,-0.1247,0.2686,0,1,Pastry
374.0,382.0,2670756.0,2670772.0,102.0,11.0,16.0,11385.0,95.0,127.0,1692.0,70.0,0.4421,0.2031,0.5,0.0047,0.7273,1.0,1.0,2.0086,0.9031,1.2041,0.5,-0.128,0.2384,0,1,Pastry
1027.0,1034.0,2928247.0,2928259.0,51.0,8.0,12.0,5999.0,111.0,135.0,1692.0,70.0,0.7778,0.3929,0.5833,0.0041,0.875,1.0,1.0,1.7076,0.8451,1.0792,0.4167,-0.081,0.1892,0,1,Pastry
1554.0,1564.0,3375744.0,3375765.0,134.0,13.0,21.0,13356.0,89.0,111.0,1690.0,70.0,0.1491,0.3619,0.4762,0.0059,0.7692,1.0,1.0,2.1271,1.0,1.3222,0.5238,-0.2213,0.3509,0,1,Pastry
179.0,193.0,1280228.0,1280256.0,266.0,23.0,28.0,24547.0,49.0,126.0,1626.0,120.0,0.2202,0.3214,0.5,0.0086,0.6087,1.0,1.0,2.4249,1.1461,1.4472,0.5,-0.279,0.6453,0,1,Pastry
980.0,992.0,333332.0,333435.0,970.0,57.0,103.0,97514.0,66.0,133.0,1362.0,,0.5433,0.2152,0.1165,0.0088,0.2105,1.0,1.0,2.9868,1.0792,2.0128,0.8835,-0.2146,0.998,0,1,Pastry
1579.0,1592.0,562576.0,562633.0,515.0,32.0,57.0,41622.0,46.0,108.0,1632.0,125.0,0.049,0.305,0.2281,0.008,0.4063,1.0,1.0,2.7118,1.1139,1.7559,0.7719,-0.3686,0.9491,0,1,Pastry
225.0,235.0,719009.0,719024.0,116.0,17.0,15.0,11656.0,71.0,127.0,1634.0,125.0,0.2754,0.2267,0.6667,0.0061,0.5882,1.0,1.0,2.0645,1.0,1.1761,0.3333,-0.215,0.266,0,1,Pastry
1465.0,1486.0,1837263.0,1837460.0,,146.0,,,19.0,141.0,1634.0,125.0,0.1812,0.3981,0.1066,0.0128,0.1438,1.0,1.0,3.3962,1.3222,2.2945,0.8934,-0.112,1.0,0,1,Pastry
1360.0,1373.0,2094748.0,2094776.0,251.0,22.0,28.0,28050.0,89.0,140.0,1632.0,125.0,0.3174,0.3104,0.4643,0.008,0.5909,1.0,1.0,2.3997,1.1139,1.4472,0.5357,-0.1269,0.6015,0,1,Pastry
1155.0,1167.0,2124816.0,2124840.0,165.0,22.0,26.0,18742.0,87.0,134.0,1626.0,125.0,0.5646,0.4271,0.5,0.0074,0.5454,0.9231,1.0,2.2175,1.0792,1.3802,0.5,-0.1126,0.4763,0,1,Pastry
